studentid;karak2_vo3lv;karak6_vo3lv;karak12_vo3lv;karak50_vo3lv;karak92_vo3lv;karak87_vo3lv;karak8_vo3lv;karak88b_vo3lv;karak16_vo3lv;karak20_vo3lv;karak89_vo3lv;karak7_vo3lv;karak11b_vo3lv;karak15_vo3lv;karak19_vo3lv;karak5_vo3lv;karak10b_vo3lv;karak53b_vo3lv;karak93_vo3lv;karak90_vo3lv;karak94_vo3lv;karak95_vo3lv;karak96_vo3lv;karak16b_vo3lv;karak97_vo3lv;karak2b_vo3lv;karak98_vo3lv;open;cons;extra;agree;neur
9417;4;4;1;3;3;3;4;2;3;1;4;1;2;3;2;2;3;3;3;1;3;3;2;1;1;3;1;1.0201305;1.1578325;.29421833;.35519829;-.30629963
5770;4;2;3;4;4;3;3;2;3;1;2;1;2;4;1;3;3;1;4;2;;3;1;0;0;4;1;1.0698019;.6184476;-.66794378;1.2905407;-.2430543
5721;3;3;3;3;3;3;4;1;4;3;3;0;3;3;2;2;4;3;3;1;2;4;4;0;1;3;1;.5049991;1.5004144;-.065294802;.8014549;.032046188
9452;3;0;1;4;3;4;1;3;4;4;4;4;1;4;4;4;3;4;4;4;1;1;3;1;4;2;4;.8296451;-1.4362119;1.0807916;1.3073672;1.7131033
1879;2;2;0;2;2;2;3;3;2;2;1;2;1;1;1;1;2;2;2;2;3;2;3;2;2;1;3;-.57390243;-.23605554;.82271302;-1.0577747;-.18209675
4345;2;2;1;2;3;2;3;4;2;3;3;1;0;4;3;2;2;3;2;2;1;2;3;1;3;2;2;-.22116034;.076585792;1.2507703;-.10479262;.78598058
6464;3;1;4;3;3;2;3;4;3;1;4;0;1;1;4;4;3;1;4;2;0;3;0;2;0;3;0;.49375644;.75593066;-.44220775;-.11305801;.064991966
7662;3;3;3;4;3;3;4;2;3;2;3;1;3;3;1;3;3;2;3;2;3;3;2;2;1;3;1;.85479045;.98267436;-.45334825;.37638491;-.12798908
8026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8258;2;2;3;3;3;2;3;2;4;1;2;1;1;3;1;3;3;2;3;1;2;3;2;1;0;2;1;-.035730232;.6184476;-.080212615;.5867399;-.678698
726;;2;3;;4;3;2;1;0;1;2;3;4;3;2;1;0;1;2;3;4;3;2;1;0;1;2;-.013415095;-.56553972;-1.0541893;-.7653448;.13335949
5483;3;2;1;3;2;3;2;1;4;2;2;4;0;3;2;2;1;2;2;2;2;2;2;1;3;2;4;.14433271;-1.0613643;.25308076;.34810311;.19030166
8706;3;3;1;4;3;2;3;3;3;2;4;2;0;3;2;3;3;2;3;3;2;2;3;1;2;2;1;.46973678;.45520499;.83649701;.59109992;.43718505
7994;2;2;4;3;3;1;3;0;2;4;4;1;3;2;4;3;3;1;3;3;2;3;1;1;2;2;2;.1139082;.45006606;-1.4249794;-.12243229;1.142807
6874;0;1;4;4;2;3;1;0;3;4;4;4;1;4;4;1;1;3;1;3;2;2;0;2;2;0;4;-.6255545;-1.4255911;-.80671376;.1452004;.89993906
4798;2;1;2;2;2;2;2;1;2;0;2;1;2;2;0;2;4;2;2;1;1;2;2;1;2;2;1;-.38552162;.23941904;-.29283869;-.59697068;-.89685631
5489;1;2;4;4;3;2;3;2;3;2;3;2;1;4;2;1;3;3;3;2;2;2;3;1;2;2;1;-.399645;.28004679;.14816692;.8371889;.24440932
8927;1;2;4;3;2;1;2;0;2;3;4;3;2;2;3;2;2;2;3;3;1;2;2;2;2;2;2;-.41262773;-.40100229;-.83724844;-.3371473;.54712808
8482;3;2;2;4;3;2;2;0;2;4;4;3;0;4;4;0;3;4;4;4;1;2;4;2;1;2;3;-.23158596;-.3900446;.6837815;.62956899;1.1468225
6992;3;3;1;3;3;2;2;2;3;1;1;2;0;3;1;2;2;3;3;2;2;2;3;0;0;2;1;-.19911264;.086797245;.85308617;.56991333;-.48592228
1421;3;3;2;4;2;2;1;2;2;3;3;3;0;4;2;0;2;3;4;4;4;2;2;0;3;3;3;.32243481;-.58329409;.4945702;1.0589991;.74502599
5487;2;2;2;3;3;2;2;2;3;4;2;2;1;3;3;1;2;3;3;3;2;2;3;2;3;2;3;-.38726172;-.42512405;.49373451;.14048328;1.1479293
8398;2;2;3;3;2;2;;2;3;3;3;1;2;2;1;2;3;2;3;3;2;2;2;1;0;2;1;-.047134697;.4044489;-.26678044;.10910928;-.19766876
5164;3;3;4;3;3;3;3;2;3;0;2;3;2;4;0;2;3;3;3;1;3;3;2;1;0;3;1;.51466352;.50508624;-.22413306;.60128736;-1.0315089
4819;3;0;2;3;3;2;3;2;1;2;2;1;0;2;3;0;2;3;2;3;1;3;3;2;4;4;2;-.16769814;-.079589598;.68030238;-.80732566;.99834377
3294;0;2;2;3;3;1;;2;;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.7440691;-.18592776;-.093996629;-.56688666;.41358224
1331;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;;2;3;1;2;3;2;1;0;2;-.60236615;-.43608174;.20519042;-.81168568;-.17808136
2439;4;1;3;4;3;3;1;2;3;3;3;4;0;4;3;4;1;3;3;3;3;1;2;0;2;3;4;1.2073007;-1.6197323;.32178637;1.051904;.78999603
8264;2;3;1;4;4;3;3;2;3;3;1;0;1;4;1;3;4;3;3;1;0;4;3;1;0;1;0;-.56536382;1.4797274;.66651833;.8371889;-.097484224
8270;3;3;2;3;3;3;3;2;3;3;3;2;1;3;2;2;3;3;3;2;3;3;2;1;1;2;1;.48271957;.64934605;.30800235;.35519829;.2248219
9624;2;1;0;3;2;3;2;2;3;1;2;1;0;2;0;4;2;4;3;1;3;2;4;1;0;2;2;.4931452;-.28764096;1.4270332;.10910928;-1.1052041
8742;3;2;3;4;3;2;4;0;3;1;1;0;1;4;1;3;3;3;4;2;2;2;3;0;0;2;1;-.023346921;.75763482;-.076733425;1.2905407;-.48592228
2585;3;1;4;2;2;2;3;0;2;4;3;4;1;2;4;2;3;2;2;3;1;2;2;3;3;3;4;.1518894;-.6887756;-.6506806;-1.0264008;1.0886993
2719;2;2;3;3;3;3;3;1;3;2;2;1;2;3;1;;3;2;3;2;2;3;1;1;1;2;1;-.0087134112;.6184476;-.65135467;.35519829;-.12798908
9244;2;2;1;3;4;3;3;2;3;3;3;1;1;4;2;3;3;4;4;2;3;2;4;0;2;2;1;.48174071;.42430654;1.0676817;1.0546391;.65645015
5882;1;1;4;3;3;2;2;2;3;3;3;2;2;3;2;0;2;1;2;2;2;3;1;1;1;2;1;-.57541072;-.069378167;-.84072751;.11656155;.2248219
8167;2;0;3;4;4;1;4;0;4;3;3;2;1;4;3;2;2;3;4;4;1;2;4;0;3;3;;-.20393927;-.19455777;.10899874;1.5220822;1.4144
8086;2;1;1;3;3;3;4;1;4;2;1;3;1;4;1;2;3;3;3;1;2;3;3;0;1;2;2;-.19677311;.17545681;.46767625;1.047544;-.32076478
1750;2;2;4;3;3;1;0;0;1;1;4;3;4;3;1;1;1;2;3;3;2;2;0;2;1;1;0;-.4339284;-.62171549;-1.5818484;-.32259989;-.10438626
7989;2;3;2;3;3;2;3;2;3;3;2;3;1;4;3;2;3;2;3;3;2;2;3;1;1;2;3;-.21149595;-.025817854;.27830333;.60128736;.60123569
1867;0;0;4;3;3;0;2;1;2;2;0;4;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-1.2518758;-.89557844;-.26527065;-.57578409;.24440932
3422;1;1;4;2;2;1;2;1;3;3;4;3;3;3;3;2;2;2;2;2;1;2;1;2;3;1;2;-.60893285;-.57616049;-1.0107062;-.33405504;.54311264
6750;2;2;3;3;2;2;3;1;2;3;2;2;3;3;3;2;3;2;3;2;2;2;2;2;1;2;2;-.21149595;.11166525;-.65219033;-.091058306;.165592
7530;3;0;2;1;2;3;2;2;2;4;3;3;3;1;0;4;2;3;3;1;2;1;2;3;2;2;3;.66022533;-1.1138413;-.065133281;-1.2697546;-.22016475
4005;3;3;4;4;2;3;2;0;2;4;3;1;4;4;3;0;;1;2;3;;2;1;2;1;2;1;-.04894698;.36404872;-1.6115472;.1522955;.52754056
1910;2;1;3;2;2;2;3;1;2;2;3;1;1;3;1;1;2;3;2;1;1;2;1;1;1;2;1;-.39692608;.069809109;-.24935567;-.35088164;-.56363279
7371;0;1;4;2;2;1;2;0;2;3;2;2;4;2;1;2;1;1;1;3;2;1;0;3;1;2;1;-.7440691;-.63699943;-1.7972796;-1.2650375;-.0089084487
7951;1;2;2;3;3;2;4;2;3;0;2;1;2;3;0;2;2;2;3;1;2;2;2;1;0;2;1;-.38824055;.43403581;-.093996629;.35519829;-1.0315089
3258;2;1;2;3;2;1;1;1;1;4;4;2;2;3;1;2;3;3;3;2;1;1;3;2;3;2;2;-.23588316;-.63577104;.10832462;-.32259989;.34500939
4518;3;2;2;4;3;2;3;3;4;2;3;2;1;3;2;3;2;2;3;2;2;2;3;0;1;2;1;.30537555;.10070755;.47714537;1.0373566;.055649005
2770;4;1;3;3;3;4;1;0;3;4;4;2;0;3;4;4;2;1;2;2;2;2;4;0;2;4;3;1.5730256;-.78935081;-.13529581;.33127657;.95003128
6084;2;2;2;3;3;2;2;2;3;2;3;4;2;3;1;2;2;3;3;1;2;2;3;1;1;2;3;-.047134697;-.71364361;.3071667;.35519829;-.32076478
9412;2;2;1;3;3;3;2;2;3;3;3;4;1;3;3;3;2;3;3;2;3;1;2;2;2;3;3;.67804593;-.90778464;.48078617;.14048328;.5972203
4669;2;2;3;3;2;1;3;1;3;2;2;2;2;3;1;2;2;2;3;2;2;2;2;1;0;2;2;-.39058006;-.067673989;-.46562251;.35519829;-.5596174
3246;3;2;4;4;3;1;3;0;2;4;4;1;2;3;3;2;3;1;4;2;1;2;1;1;3;3;2;.13716656;.25592503;-1.2384117;.59819508;.95515358
5355;3;2;3;3;3;1;2;1;3;;2;4;1;4;2;0;4;2;3;3;2;1;2;1;0;2;3;-.56536692;-.54910618;-.27905467;.60128736;.083979003
9278;3;3;4;3;3;3;3;1;3;2;3;1;2;3;1;2;3;1;4;3;3;3;2;1;2;3;1;.67902476;.7936058;-.85383749;.59383506;.25354695
7709;1;2;1;2;2;1;2;1;2;2;2;2;2;2;2;3;2;2;2;1;1;1;1;1;2;2;2;-.56558454;-.45088354;-.30578706;-.59697068;-.19123437
3038;3;2;0;3;3;2;3;2;3;1;2;2;0;3;1;3;3;3;3;3;3;2;3;1;3;3;3;.51134509;-.056716289;1.02587;.35519829;.27313438
4153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6327;3;2;0;4;3;3;1;3;3;0;1;1;0;3;0;2;3;4;4;1;2;2;3;1;3;3;1;.17627661;.046169519;1.4401432;.82973659;-.46522802
8675;3;2;1;4;4;2;2;3;1;4;2;0;0;3;1;2;3;3;4;3;2;2;4;0;2;3;1;.16155376;.3794978;1.2376604;.58136851;.83476067
2032;3;2;1;3;2;2;3;3;3;3;3;3;3;3;1;3;3;3;3;2;1;3;1;3;1;2;3;.13134994;-.0068350467;.12076042;-.074231744;-.20168416
7630;2;0;3;4;3;2;2;0;3;3;4;3;4;3;2;2;3;1;2;3;3;2;4;1;2;2;2;.2912522;-.57197946;-.881567;.35246313;.60635793
5979;4;3;1;3;2;4;3;0;2;0;1;0;0;4;0;4;4;3;3;0;4;3;2;2;0;2;0;1.0353827;1.2855864;.26966983;.1550307;-1.4671527
3211;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.25674251;-.093996629;-.81168568;.0015413385
3907;4;2;0;4;4;4;4;4;4;4;4;4;0;4;0;4;3;4;4;3;4;4;4;0;0;2;0;1.5284666;.73725939;1.8247175;1.5220822;.27360204
600;2;2;2;2;2;2;3;1;2;1;2;2;2;3;2;3;2;1;2;3;1;2;1;2;1;1;2;-.40606102;-.067673989;-.69400203;-.5655967;-.16361617
5176;0;0;2;2;2;0;4;1;2;2;1;2;1;2;0;1;1;2;3;0;0;2;2;1;1;0;1;-2.0039418;-.23987961;-.10627089;-.35833389;-.94004649
7737;1;0;4;3;4;2;2;0;3;3;4;4;4;3;3;2;0;2;2;4;3;0;3;0;1;1;4;-.081797548;-1.979302;-1.0246518;.33127657;1.0368794
8163;2;0;3;4;4;2;4;1;4;4;4;4;2;4;4;3;2;2;4;4;0;2;0;0;4;3;1;.14124615;-.34905994;-.83708686;1.5220822;1.9559714
3851;3;1;4;4;3;3;2;0;3;3;4;4;2;3;3;2;1;1;3;4;3;1;0;2;2;1;3;.45077565;-1.2622821;-1.4241439;.37638491;.98277169
6789;4;2;1;4;4;2;3;3;4;1;2;3;1;3;1;2;3;3;2;1;3;3;3;0;0;3;1;.51232398;.32992801;.86536038;.79871976;-.43583003
5100;2;1;1;0;3;1;3;1;2;1;1;3;4;3;0;1;1;3;2;2;1;3;3;2;0;3;1;-.70842743;-.20390864;-.09202721;-1.0373998;-.66956037
7461;3;3;0;3;3;3;3;1;3;2;2;3;1;3;1;2;2;3;3;1;1;2;3;1;1;2;1;-.029692916;.131606;.64046007;.35519829;-.32076478
8379;2;1;3;4;3;2;3;2;2;1;4;3;1;4;0;3;2;2;4;1;3;3;2;2;1;2;3;.46701789;-.36133251;-.080212615;.62956899;-.67357576
3189;3;2;3;4;2;3;4;3;4;3;4;0;3;3;1;2;4;2;3;1;4;3;2;0;0;3;0;1.0174116;1.2994967;-.25450617;1.0373566;-.58322018
3522;3;1;3;2;2;2;2;1;2;3;3;3;4;2;3;1;2;2;2;3;3;2;2;2;3;2;2;.12786977;-.57616049;-.83875817;-.81168568;.73588836
1230;3;2;4;3;2;3;3;0;0;4;4;2;3;2;4;0;2;0;3;4;1;2;0;4;3;2;1;-.052501861;.10070755;-1.8261427;-1.2296605;1.2814749
1684;3;3;4;3;2;3;2;2;3;2;3;1;2;3;2;1;3;2;3;2;3;1;3;2;2;3;2;.503259;.047873694;-.25383207;.14048328;.0015413385
7040;1;1;2;3;2;3;3;2;3;1;2;1;2;2;1;1;2;2;2;1;2;3;3;1;1;1;1;-.5812273;.26395014;.091735527;-.12952746;-.73280567
2011;2;2;2;3;3;3;3;3;2;1;2;1;3;4;2;2;3;3;3;2;3;2;1;1;1;2;2;.14161377;.25592503;-.05202337;.3697457;-.11352389
4234;0;2;3;2;2;1;3;1;1;4;3;2;3;2;1;2;1;1;3;4;1;3;0;2;0;2;2;-.75373358;-.052872185;-1.2390858;-.80459052;.16427985
6053;3;3;2;3;2;2;1;2;2;2;2;3;1;3;2;2;1;3;2;2;2;1;3;3;3;2;2;-.034751385;-.78839284;.49373451;-.54441011;.19030166
3017;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.25674251;-.093996629;-.81168568;.0015413385
9717;4;2;3;4;4;1;4;1;3;2;4;1;2;4;1;2;3;3;4;4;2;3;4;1;0;4;0;.68424195;.97589761;.12127298;1.0758257;.31167004
309;2;3;2;3;2;4;3;0;2;0;0;0;2;3;0;2;2;3;2;0;2;3;0;1;0;3;0;.014254868;.92690784;-.64771396;-.11498003;-1.4671527
2945;3;3;3;3;1;3;3;0;3;1;2;0;3;2;1;1;4;1;2;2;3;2;1;1;0;1;0;-.053712543;1.0914453;-1.2521957;-.12952746;-.97165835
8050;2;2;2;3;3;1;2;1;3;3;3;3;2;3;3;2;2;2;3;2;1;2;2;1;2;2;3;-.40024444;-.5693838;-.29283869;.35519829;.5972203
2305;2;2;3;3;3;2;2;2;2;2;3;2;2;3;2;2;2;2;3;3;2;2;2;2;3;2;2;-.047134697;-.25674251;-.26678044;-.091058306;.62594533
7214;1;1;3;3;2;2;2;1;3;3;3;1;3;3;3;2;3;1;3;3;2;2;1;1;2;2;2;-.22387928;-.10830173;-1.0533535;.35519829;.54712808
6559;1;3;3;3;3;3;3;3;2;3;3;3;2;3;1;3;2;3;3;3;3;2;3;0;2;;3;.41764832;-.20515709;.33322495;.33837172;.42271987
1418;2;2;1;0;2;2;3;4;3;2;1;0;1;2;3;4;3;2;1;0;1;2;3;4;3;2;1;-.1983514;.56856632;.84877127;-1.720014;-.011611706
9682;2;1;3;3;3;3;2;1;3;4;3;3;1;3;3;3;2;2;3;3;3;3;3;1;3;2;2;.48174071;-.38201949;-.093322515;.35519829;1.1479293
9141;2;2;4;2;2;2;2;0;4;0;2;1;3;3;1;3;3;2;3;3;3;3;3;0;0;3;2;.33460054;.26099753;-.83808392;.56555331;-.7051875
8949;4;4;1;4;3;2;3;1;3;4;2;1;0;3;1;1;4;3;3;3;2;3;3;0;1;3;1;.16253261;1.1481034;.65424407;.80581492;.4031325
6525;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;1;.53460348;-.088360973;-.093996629;-1.4938438;-.18721898
4376;1;1;2;3;3;2;1;0;3;2;2;0;4;3;3;4;2;3;4;2;2;2;4;2;2;2;3;-.036709085;-.50083125;-.2779209;.37912005;.42804742
7169;1;1;3;3;2;2;3;1;3;3;3;1;3;3;3;1;3;2;2;3;1;2;2;1;1;1;1;-.76997572;.24914832;-.65219033;.11656155;.35836774
8130;1;2;2;2;2;1;3;1;3;1;2;1;2;3;0;3;1;3;2;1;1;3;3;2;0;1;1;-.7618897;.25976911;.10832462;-.33405504;-1.1052041
6597;4;2;1;3;3;3;3;4;3;1;1;2;0;3;1;2;3;3;3;1;2;2;3;1;1;4;1;.54932636;.28004679;1.2507703;.35519829;-.48993769
3543;1;2;1;3;3;3;2;1;2;3;3;1;0;2;3;2;3;3;3;3;1;2;2;2;3;1;2;-.41512597;.066856496;.46851191;-.3371473;.97875631
9700;0;2;4;4;2;0;1;2;1;0;0;0;4;4;1;3;2;0;2;2;0;1;3;1;2;1;1;-1.6204664;-.18305098;-1.0578301;.13546896;-.52044261
8477;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.25674251;-.093996629;-.81168568;.0015413385
1706;3;2;2;3;3;2;2;2;2;1;2;2;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;-.034751385;-.077403285;-.093996629;-.091058306;.075236425
5129;4;2;0;4;4;3;4;0;4;0;4;0;0;4;0;4;4;4;2;0;4;4;1;0;0;4;0;1.7419926;1.4936377;.47215262;1.0448087;-.9814167
2986;2;1;3;2;2;1;1;1;2;1;2;3;2;1;1;1;2;1;1;1;1;1;1;1;2;2;2;-.74037141;-.95937008;-.86678582;-1.0816964;-.54404533
8594;2;2;3;3;3;2;3;0;3;4;3;3;3;3;3;3;2;2;3;3;3;1;2;1;1;2;3;.30265668;-.57445633;-.85103244;.35519829;.77040869
1011;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-.21149595;-.25674251;-.093996629;-.81168568;.0015413385
3981;3;3;2;4;4;3;3;1;3;0;1;2;1;3;1;3;3;3;2;3;3;2;3;0;1;3;1;.52606791;.45520499;.29489246;.56717813;-.030691188
5259;2;1;2;3;;1;2;1;3;3;4;3;1;2;3;3;2;2;2;2;3;1;1;1;3;2;3;.28793383;-.93868309;-.29200307;-.12952746;.85616565
7341;4;3;1;3;3;4;2;3;4;4;3;0;2;3;0;4;4;4;3;2;3;3;4;1;0;3;0;1.3863848;1.0965178;1.0799559;.5867399;-.16204163
8452;3;2;2;3;2;3;2;3;3;2;2;2;1;3;2;3;3;3;2;2;3;2;2;1;1;2;2;.49412405;-.077403285;.5068444;.11656155;-.18721898
5763;3;0;2;3;1;1;1;1;2;2;2;3;2;1;1;1;0;2;2;4;2;2;2;2;1;2;4;-.3896012;-1.6358289;-.29283869;-.82187307;-.22817364
9724;2;1;0;3;2;3;2;4;4;3;2;3;0;3;2;3;1;4;2;2;0;2;3;0;1;1;3;-.40100256;-.92388129;1.6389853;.56281817;-.018046079
3236;1;0;4;1;3;1;1;1;2;4;4;4;4;4;4;3;1;0;1;4;1;0;0;3;4;1;2;-.43316719;-1.6522683;-1.8138685;-1.008761;1.7131033
7107;1;0;1;4;4;2;3;3;4;3;3;2;0;4;2;2;2;3;4;3;1;2;4;0;1;1;2;-.59421003;-.41799045;1.2376604;1.5220822;.6604656
9698;3;3;4;4;4;3;3;0;3;4;3;2;3;4;4;4;4;0;3;3;2;3;0;2;3;3;2;.85653049;.66030377;-1.8261427;.6224739;1.5744352
344;1;0;1;1;3;0;2;2;3;1;3;3;0;3;2;0;;3;3;2;1;3;3;0;2;2;2;-1.1076044;-.58183289;.85308617;.098110154;.075236425
8790;3;2;2;3;3;1;3;2;2;1;3;1;1;3;1;3;3;2;2;2;1;3;2;2;0;3;1;.14857103;.6184476;.092571184;-.32969505;-.48592228
2914;2;2;0;3;2;3;2;1;3;3;2;4;0;3;0;1;3;3;3;1;1;1;3;1;2;2;1;-.38220322;-.39168236;.82702792;.35519829;-.38933766
5238;1;2;2;2;1;1;3;1;2;2;2;2;0;3;2;2;1;2;2;1;1;2;2;1;1;2;2;-.74135023;-.24701323;.080296941;-.35088164;-.6228627
3047;0;1;2;2;3;1;2;2;3;2;3;3;1;3;2;1;1;3;3;1;1;1;4;1;1;1;3;-1.1258044;-1.1180223;.67946666;.11929671;-.13712671
8850;2;3;3;3;2;3;3;0;2;2;3;0;2;3;1;1;4;3;3;1;3;4;2;2;2;3;1;.32651442;1.3113458;-.44903341;-.091058306;-.37487248
6350;1;1;2;3;3;2;3;2;3;1;3;3;1;3;1;2;2;3;3;1;1;3;3;1;1;2;2;-.3979049;-.19295096;.49373451;.35519829;-.48993769
